starId,movieId
s000004138,AKo10
s000005882,AKo15
s000005456,AKo15
s000007305,AKo15
s000002947,AKo15
s000002887,AKo15
s000007306,AKo15
s000006859,AKo15
s000006859,AKo15
s000006859,AKo15
s000007307,AkS10
s000007308,AkS10
s000007309,AkS10
s000007310,AkS10
s000007311,AKu10
s000000094,AKu10
s000000678,AL8
s000001451,AL8
s000001165,AL10
s000000678,AL10
s000005144,AL10
s000003752,AL10
s000001255,AL10
s000003069,AL10
s000007312,AL10
s000005354,AL11
s000007313,AL11
s000007314,AL11
s000003077,AL11
s000001338,AL11
s000004772,AL11
s000004717,AL11
s000003677,AL11
s000000678,AL12
s000001469,AL12
s000004707,AL12
s000006573,AL12
s000007315,AL12
s000006606,AL12
s000001428,AL12
s000001459,AL12
s000002572,AL12
s000001298,AL12
s000007316,AL12
s000003755,AL12
s000002196,AL13
s000004650,AL13
s000005707,AL13
s000004187,AL13
s000001305,AL13
s000004717,AL13
s000007317,AL13
s000003677,AL13
s000005354,AL14
s000003781,AL14
s000005513,AL14
s000005930,AL14
s000007074,AL14
s000000874,AL16
s000005707,AL16
s000001322,AL16
s000001338,AL16
s000003276,AL16
s000004115,AL16
s000006213,AL16
s000005092,AL16
s000002037,AL20
s000007085,AL21
s000003466,AL21
s000005263,AL21
s000001284,AL21
s000000443,AL21
s000007318,AL21
s000001858,AL21
s000001229,AL21
s000001531,AL22
s000007319,AL22
s000007320,AL22
s000002849,AL22
s000003498,AL22
s000001858,AL22
s000000628,AL22
s000004837,AL22
s000005553,AL22
s000000510,AL26
s000000802,AL26
s000002697,AL26
s000002959,AL26
s000006094,AL26
s000000270,AL26
s000001584,AL26
s000005553,AL26
s000000802,AL27
s000003293,AL27
s000005319,AL27
s000007321,AL27
s000004390,AL27
s000003954,AL27
s000006859,AL27
s000006859,AL27
s000004494,AlA10
s000001044,AlA10
s000007322,AlA10
s000000977,AlA10
s000007323,AlA10
s000000977,AlA10
s000007324,AlA10
s000007325,AlA10
s000001816,AlA10
s000006092,AlA10
s000001474,AlA10
s000001379,AlA50
s000000977,AlA50
s000000559,AlA50
s000003469,AlA50
s000002108,AlA50
s000006859,AlB10
s000004496,AlB10
s000004828,AlB10
s000001966,AlB10
s000001595,AlC10
s000006859,AlC10
s000006859,AlC10
s000003912,AlC14
s000001568,AlC20
s000007326,AlC20
s000007327,AlC20
s000007328,AlC20
s000007329,AlC20
s000007330,AlC20
s000007331,AlD10
s000005513,ALe1
s000003955,ALe1
s000002256,ALe1
s000007332,ALe1
s000007333,ALe1
s000000400,ALe1
s000006147,ALe1
s000000602,ALe1
s000000394,ALe1
s000005513,ALe2
s000003507,ALe2
s000005183,ALe2
s000002292,ALe2
s000003542,ALe2
s000003996,ALe4
s000002193,ALe4
s000006514,ALe4
s000004838,ALe4
s000005760,ALe4
s000007334,ALe4
s000003536,ALe4
s000007335,ALe4
s000002364,ALe4
s000006655,ALe7
s000001967,ALe7
s000002180,ALe7
s000005764,ALe7
s000007336,ALe7
s000001390,ALe7
s000007337,ALe7
s000000810,ALe7
s000001391,AlG11
s000001391,AlG11
s000003576,AlG11
s000007338,AlG11
s000004454,AlG11
s000007339,AlG11
s000006132,AlH8
s000004180,AlH8
s000007340,AlH8
s000000545,AlH8
s000004758,AlH8
s000007341,AlH8
s000000539,AlH8
s000006828,AlH21
s000004239,AlH21
s000002498,AlH21
s000002192,AlH21
s000002556,AlH21
s000004329,AlH24
s000002884,AlH24
s000003304,AlH24
s000005113,AlH24
s000007342,AlH24
s000007343,AlH24
s000006965,AlH24
s000007344,AlH24
s000002819,AlH24
s000007345,AlH24
s000002392,AlH30
s000000575,AlH30
s000007342,AlH30
s000007346,AlH30
s000001545,AlH30
s000002134,AlH30
s000007347,AlH30
s000000005,AlH30
s000006799,AlH38
s000004239,AlH38
s000005150,AlH38
s000004472,ALi10
s000000680,ALi10
s000003347,ALi10
s000000246,ALi10
s000000195,ALi10
s000004881,ALi15
s000005994,ALi15
s000007348,ALi15
s000007349,ALi15
s000000321,AlJ1
s000000758,AlJ1
s000004019,AlJ1
s000003688,AlJ1
s000001966,AlJ1
s000005289,AlJ1
s000001760,AlJ1
s000002505,AlJ1
s000007350,AlJ1
s000007351,AlL3
s000001007,AlM10
s000006242,AlM10
s000003485,AlM10
s000004767,AlP15
s000007352,AlP15
s000005480,AlP15
s000000310,AlP15
s000005090,AlP15
s000007353,AlP15
s000006838,AlP15
s000007354,AlP15
